Metric Name,Metric Unit,Maximum,Minimum,Average
device__attribute_pci_device_id,,,,0
device__attribute_pci_domain_id,,,,0
device__attribute_ram_location,,,,1
device__attribute_ram_type,,,,17
device__attribute_reserved_shared_memory_per_block,,,,"1,024"
device__attribute_sass_level,,,,8
device__attribute_single_to_double_precision_perf_ratio,,,,32
device__attribute_sparse_cuda_array_supported,,,,1
device__attribute_stream_priorities_supported,,,,1
device__attribute_surface_alignment,,,,512
device__attribute_tcc_driver,,,,0
device__attribute_tensor_map_access_supported,,,,0
device__attribute_texture_alignment,,,,512
device__attribute_texture_pitch_alignment,,,,32
device__attribute_total_constant_memory,,,,"65,536"
device__attribute_total_memory,,,,"8,358,002,688"
device__attribute_unified_addressing,,,,1
device__attribute_unified_function_pointers,,,,0
device__attribute_virtual_address_management_supported,,,,1
device__attribute_warp_size,,,,32
dram__bytes.sum.peak_sustained,byte/cycle,,,64.000000
dram__bytes.sum.per_second,Gbyte/second,,,161.887234
dram__bytes_read.sum,Gbyte,,,2.212823
dram__bytes_read.sum.pct_of_peak_sustained_elapsed,%,,,25.102408
dram__bytes_read.sum.per_second,Gbyte/second,,,109.048170
dram__bytes_write.sum,Gbyte,,,1.072219
dram__bytes_write.sum.pct_of_peak_sustained_elapsed,%,,,12.163320
dram__bytes_write.sum.per_second,Gbyte/second,,,52.839065
dram__cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,37.265728
dram__cycles_elapsed.avg.per_second,cycle/nsecond,,,6.787706
dram__sectors_read.sum,sector,,,69150716.000000
dram__sectors_write.sum,sector,,,33506836.000000
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,%,,,22.212422
gpc__cycles_elapsed.avg.per_second,cycle/nsecond,,,1.496578
gpc__cycles_elapsed.max,cycle,,,30388961.000000
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,%,,,31.216289
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,,,37.265728
gpu__time_duration.sum,msecond,,,20.292160
idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
inst_executed,inst,,,2258894848.000000
l1tex__cycles_active.sum,cycle,,,1390473827.000000
l1tex__cycles_elapsed.sum,cycle,,,1396941778.000000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,,,0
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,,,7.506322
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,,,2.700143
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,,,31.216289
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,,,"295,524,791"
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,%,,,21.155126
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,,,,0
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,,,"134,251,160"
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,9.610362
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,,,"67,108,864"
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed,%,,,4.803984
l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,,,21.078544
l1tex__lsu_writeback_active_mem_lg.sum,cycle,,,92913168.000000
l1tex__lsu_writeback_active_mem_lg.sum.pct_of_peak_sustained_elapsed,%,,,6.651184
l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,%,,,52.355923
l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,7.027176
l1tex__m_l1tex2xbar_write_bytes.sum,Gbyte,,,1.073742
l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed,%,,,2.401992
l1tex__m_l1tex2xbar_write_bytes.sum.per_second,Gbyte/second,,,52.914122
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum,sector,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum,sector,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum,sector,,,33554432.000000
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum.pct_of_peak_sustained_elapsed,%,,,2.401992
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum,sector,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum,sector,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum,sector,,,0.000000
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_xbar2l1tex_read_bytes.sum,Gbyte,,,4.286328
l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed,%,,,9.588643
l1tex__m_xbar2l1tex_read_bytes.sum.per_second,Gbyte/second,,,211.230756
l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,%,,,9.588643
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum,sector,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum,sector,,,133957145.000000
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,9.589315
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum,sector,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum,sector,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum,sector,,,0.000000
l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum,,,,0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum,,,,"67,109,374"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,4.804021
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum,,,,0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum,,,,"9,050,795"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.647901
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum,,,,0
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum,,,,0
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum,,,,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum,,,,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum,,,,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum,,,,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum,,,,0
l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,request,,,0.000000
l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,request,,,67108864.000000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,4.803984
l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,request,,,0.000000
l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,request,,,4194304.000000
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.300249
l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,request,,,0.000000
l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,request,,,0.000000
l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,request,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,request,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,request,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,request,,,0.000000
l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_requests_pipe_tex_mem_texture.sum,request,,,0.000000
l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__t_sector_hit_rate.pct,%,,,14.748126
l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate.pct,%,,,0.000000
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct,%,,,0.175484
